algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n),T4(n)
11412469,1349698,1486401,730107,1000000000,100000000,33219281,10000000
3516208,1737543,1532001,351777,3375000000,225000000,58603359,15000000
4901445,281711,2197372,394243,8000000000,400000000,86438562,20000000
7377749,403718,751872,105202,15625000000,625000000,116096405,25000000
9917670,515039,755328,111183,27000000000,900000000,147206718,30000000
14891011,666113,999953,119311,42875000000,1225000000,179524906,35000000
18701656,802379,5823863,132412,64000000000,1600000000,212877124,40000000
18860764,1013928,1347905,142117,91125000000,2025000000,247133390,45000000
24776782,1354505,1482768,155624,125000000000,2500000000,282192810,50000000
32096563,1738892,1678805,177750,166375000000,3025000000,317974785,55000000
41194018,1737760,1825445,177904,216000000000,3600000000,354413436,60000000
51671667,2019374,2025270,199734,274625000000,4225000000,391453908,65000000
63900146,2306427,2169033,265051,343000000000,4900000000,429049812,70000000
80237300,2675098,2364090,218336,421875000000,5625000000,467161402,75000000
96109693,3014105,2573537,243697,512000000000,6400000000,505754248,80000000
114881173,3408387,2570658,237013,614125000000,7225000000,544798230,85000000
136943464,3749496,2851333,244859,729000000000,8100000000,584266779,90000000
161013303,4131127,2926212,258905,857375000000,9025000000,624136283,95000000
190467034,4613531,3082090,286245,1000000000000,10000000000,664385619,100000000
